device_id,device_name,wallet_id,location
143,Smart Light 143,12027,Constanta
144,Humidity Sensor 144,61923,Oradea
145,Humidity Sensor 145,37036,Vienna
146,Humidity Sensor 146,81472,Bucharest
147,Environmental Sensor 147,15059,Iasi
148,Smart Light 148,21209,Oradea
149,Smart Lock 149,82354,Munich
150,Smart Thermostat 150,37575,Iasi
151,Air Quality Sensor 151,76892,Bucharest
152,Humidity Sensor 152,88920,Cluj-Napoca
153,Security Camera 153,99328,Bucharest
154,Temperature Sensor 154,70069,Bucharest
155,Security Camera 155,56829,Bucharest
156,Temperature Sensor 156,75790,Vienna
157,Motion Sensor 157,90786,Budapest
158,Air Quality Sensor 158,16220,Prague
159,Security Camera 159,81179,Vienna
160,Smart Light 160,32724,Sibiu
161,Environmental Sensor 161,57544,Paris
162,Air Quality Sensor 162,27287,Amsterdam
163,GPS Tracker 163,33801,Barcelona
164,Smart Thermostat 164,23970,Budapest
165,Temperature Sensor 165,72820,Barcelona
166,Industrial Sensor 166,21335,Timisoara
167,Temperature Sensor 167,3930,Cluj-Napoca
168,Industrial Sensor 168,19325,Constanta
169,GPS Tracker 169,99289,Madrid
170,Air Quality Sensor 170,66221,Arad
171,Motion Sensor 171,41544,Budapest
172,Smart Light 172,7188,Barcelona
173,Environmental Sensor 173,4059,Bucharest
174,Security Camera 174,3193,Sibiu
175,Smart Thermostat 175,81085,Bucharest
176,Energy Monitor 176,48658,Barcelona
177,Security Camera 177,68513,Arad
178,Temperature Sensor 178,62795,Bucharest
179,Security Camera 179,91820,Oradea
180,Humidity Sensor 180,36434,Barcelona
181,Smart Meter 181,24975,Sibiu
182,Motion Sensor 182,11361,Madrid
183,Smart Light 183,75152,Warsaw
184,Smart Light 184,34718,Iasi
185,Smart Lock 185,12279,Paris
186,Smart Meter 186,75408,Craiova
187,Smart Lock 187,53394,Iasi
188,Air Quality Sensor 188,56123,Bucharest
189,Motion Sensor 189,76574,Craiova
190,Industrial Sensor 190,60589,Constanta
191,Water Sensor 191,76519,Iasi
192,Humidity Sensor 192,64852,Vienna
193,Environmental Sensor 193,51540,Brasov
194,Smart Light 194,88340,Amsterdam
195,IoT Gateway 195,21215,Munich
196,Smart Meter 196,54701,Sibiu
197,Smart Lock 197,13517,Vienna
198,Humidity Sensor 198,70479,Amsterdam
199,Energy Monitor 199,90058,Cluj-Napoca
200,GPS Tracker 200,24435,Sibiu
201,IoT Gateway 201,63994,Timisoara
202,Environmental Sensor 202,90556,Iasi
203,Air Quality Sensor 203,61358,Sibiu
204,Air Quality Sensor 204,25107,Brasov
205,Motion Sensor 205,73392,Munich
206,Security Camera 206,31377,Vienna
207,Smart Meter 207,24484,Prague
208,Air Quality Sensor 208,91614,Madrid
209,Environmental Sensor 209,33891,Berlin
210,Air Quality Sensor 210,3110,Vienna
211,IoT Gateway 211,17340,Barcelona
212,Environmental Sensor 212,79753,Barcelona
213,GPS Tracker 213,54466,Warsaw
214,Smart Lock 214,48890,Constanta
215,Security Camera 215,41843,Amsterdam
216,GPS Tracker 216,98716,Brasov
217,IoT Gateway 217,97307,Oradea
218,GPS Tracker 218,1510,Brasov
219,Temperature Sensor 219,45175,Berlin
220,Security Camera 220,77608,Constanta
221,Environmental Sensor 221,47717,Timisoara
222,Environmental Sensor 222,51282,Arad
223,Smart Lock 223,16264,Arad
224,Security Camera 224,29558,Budapest
225,Smart Thermostat 225,36134,Sibiu
226,Humidity Sensor 226,28635,Prague
227,Water Sensor 227,6103,Oradea
228,GPS Tracker 228,39346,Madrid
229,Environmental Sensor 229,43867,Paris
230,Smart Lock 230,61148,Iasi
231,Water Sensor 231,15399,Munich
232,Air Quality Sensor 232,93254,Constanta
233,Smart Thermostat 233,71647,Brasov
234,Environmental Sensor 234,21697,Brasov
235,Smart Light 235,91967,Iasi
236,IoT Gateway 236,6867,Oradea
237,Smart Lock 237,40503,Iasi
238,IoT Gateway 238,24644,Vienna
239,IoT Gateway 239,89105,Barcelona
240,Energy Monitor 240,22641,Barcelona
241,Smart Meter 241,58678,Craiova
242,Industrial Sensor 242,44868,Cluj-Napoca
243,Humidity Sensor 243,31885,Arad
244,Industrial Sensor 244,4829,Timisoara
245,Motion Sensor 245,17325,Timisoara
246,GPS Tracker 246,96388,Constanta
247,Air Quality Sensor 247,59286,Iasi
248,Water Sensor 248,94161,Constanta
249,Temperature Sensor 249,22318,Oradea
250,Smart Thermostat 250,53895,Brasov
251,Air Quality Sensor 251,51238,Craiova
252,Smart Meter 252,73371,Vienna
253,Smart Lock 253,53253,Arad
254,Temperature Sensor 254,24395,Sibiu
255,GPS Tracker 255,56205,Barcelona
256,Water Sensor 256,63139,Madrid
257,Environmental Sensor 257,66830,Amsterdam
258,Air Quality Sensor 258,90079,Warsaw
259,Security Camera 259,38875,Warsaw
260,IoT Gateway 260,51932,Barcelona
261,IoT Gateway 261,1870,Brasov
262,Security Camera 262,53253,Vienna
263,Smart Thermostat 263,23099,Madrid
264,Air Quality Sensor 264,20895,Constanta
265,Smart Light 265,66098,Prague
266,Environmental Sensor 266,88194,Amsterdam
267,Temperature Sensor 267,11041,Oradea
268,Motion Sensor 268,27304,Berlin
269,Smart Meter 269,62058,Barcelona
270,Smart Meter 270,99978,Cluj-Napoca
271,Environmental Sensor 271,85362,Timisoara
272,Smart Meter 272,82549,Cluj-Napoca
273,Temperature Sensor 273,59556,Cluj-Napoca
274,Motion Sensor 274,8141,Iasi
275,Smart Lock 275,57943,Vienna
276,Humidity Sensor 276,70380,Prague
277,Smart Light 277,85290,Paris
278,Security Camera 278,88205,Prague
279,Smart Meter 279,77507,Brasov
280,Smart Light 280,44447,Constanta
281,Air Quality Sensor 281,92401,Prague
282,Water Sensor 282,66642,Barcelona
283,IoT Gateway 283,10357,Amsterdam
284,Security Camera 284,22692,Prague
285,GPS Tracker 285,23869,Prague
286,Environmental Sensor 286,57605,Iasi
287,Environmental Sensor 287,64163,Barcelona
288,Humidity Sensor 288,82694,Munich
289,IoT Gateway 289,20001,Sibiu
290,Environmental Sensor 290,19934,Paris
291,Energy Monitor 291,75553,Sibiu
292,Smart Light 292,2288,Budapest
293,Industrial Sensor 293,54005,Madrid
294,Humidity Sensor 294,91296,Berlin
295,Smart Light 295,24465,Oradea
296,IoT Gateway 296,13201,Craiova
297,Security Camera 297,50601,Constanta
298,Energy Monitor 298,69408,Budapest
299,Smart Meter 299,71733,Warsaw
300,Security Camera 300,74528,Brasov
301,Energy Monitor 301,98554,Amsterdam
302,Environmental Sensor 302,96566,Paris
303,Humidity Sensor 303,18402,Madrid
304,Smart Thermostat 304,14769,Vienna
305,Smart Light 305,13993,Budapest
306,Industrial Sensor 306,14987,Prague
307,Humidity Sensor 307,85588,Barcelona
308,Security Camera 308,49525,Berlin
309,Smart Light 309,94344,Vienna
310,Smart Light 310,59966,Bucharest
311,Industrial Sensor 311,32378,Craiova
312,Smart Lock 312,92505,Munich
313,Humidity Sensor 313,19562,Madrid
314,Energy Monitor 314,13418,Cluj-Napoca
315,Security Camera 315,28914,Warsaw
316,Humidity Sensor 316,449,Vienna
317,Smart Meter 317,71037,Oradea
318,Temperature Sensor 318,53247,Iasi
319,Energy Monitor 319,38094,Munich
320,Smart Thermostat 320,25932,Timisoara
321,GPS Tracker 321,4372,Timisoara
322,GPS Tracker 322,27398,Budapest
323,Humidity Sensor 323,43960,Prague
324,Energy Monitor 324,78459,Paris
325,Water Sensor 325,8813,Oradea
326,Smart Thermostat 326,16667,Warsaw
327,Industrial Sensor 327,67954,Budapest
328,Energy Monitor 328,7181,Brasov
329,Motion Sensor 329,93738,Craiova
330,Smart Light 330,11247,Craiova
331,Energy Monitor 331,78368,Budapest
332,Security Camera 332,45240,Paris
333,Environmental Sensor 333,68880,Madrid
334,Smart Thermostat 334,70230,Sibiu
335,Environmental Sensor 335,99339,Arad
336,Smart Light 336,20430,Arad
337,Humidity Sensor 337,64200,Paris
338,Smart Light 338,6557,Prague
339,Water Sensor 339,93725,Iasi
340,GPS Tracker 340,58455,Brasov
341,Energy Monitor 341,34125,Warsaw
342,Environmental Sensor 342,30476,Iasi
343,Security Camera 343,67453,Amsterdam
344,IoT Gateway 344,44343,Brasov
345,Industrial Sensor 345,64411,Madrid
346,Smart Thermostat 346,58828,Constanta
347,Environmental Sensor 347,65634,Amsterdam
348,IoT Gateway 348,97358,Sibiu
349,Smart Meter 349,90066,Amsterdam
350,Temperature Sensor 350,11316,Barcelona
351,Smart Lock 351,89396,Bucharest
352,Industrial Sensor 352,55311,Berlin
353,Smart Light 353,9232,Warsaw
354,Smart Lock 354,54492,Munich
355,Environmental Sensor 355,28971,Craiova
356,Smart Thermostat 356,21970,Warsaw
357,Smart Meter 357,48515,Amsterdam
358,Air Quality Sensor 358,66068,Sibiu
359,Environmental Sensor 359,46791,Craiova
360,Smart Light 360,90670,Prague
361,Air Quality Sensor 361,95693,Iasi
362,Smart Light 362,67105,Cluj-Napoca
363,GPS Tracker 363,16156,Iasi
364,Smart Meter 364,39786,Prague
365,IoT Gateway 365,75215,Constanta
366,Air Quality Sensor 366,59979,Budapest
367,Smart Meter 367,73916,Prague
368,Environmental Sensor 368,40504,Iasi
369,Environmental Sensor 369,8646,Amsterdam
370,Smart Thermostat 370,10359,Sibiu
371,Security Camera 371,71208,Bucharest
372,Smart Lock 372,98205,Brasov
373,Air Quality Sensor 373,93536,Warsaw
374,Humidity Sensor 374,78129,Cluj-Napoca
375,IoT Gateway 375,90646,Timisoara
376,Smart Thermostat 376,44739,Brasov
377,Smart Meter 377,18719,Bucharest
378,Smart Light 378,67630,Craiova
379,IoT Gateway 379,68762,Bucharest
380,Temperature Sensor 380,9111,Brasov
381,Smart Lock 381,96657,Iasi
382,Motion Sensor 382,19756,Oradea
383,Humidity Sensor 383,58286,Paris
384,Energy Monitor 384,91529,Constanta
385,IoT Gateway 385,35643,Berlin
386,Smart Thermostat 386,65148,Sibiu
387,Environmental Sensor 387,2615,Prague
388,GPS Tracker 388,43255,Prague
389,IoT Gateway 389,25247,Timisoara
390,Motion Sensor 390,63033,Prague
391,Motion Sensor 391,50409,Madrid
392,Smart Meter 392,18991,Bucharest
393,Industrial Sensor 393,47575,Vienna
394,Security Camera 394,42375,Bucharest
395,IoT Gateway 395,29058,Iasi
396,Water Sensor 396,8021,Amsterdam
397,Environmental Sensor 397,81106,Bucharest
398,Energy Monitor 398,62184,Budapest
399,IoT Gateway 399,79263,Berlin
400,Environmental Sensor 400,89423,Brasov
401,Smart Lock 401,616,Craiova
402,Security Camera 402,65220,Bucharest
403,Water Sensor 403,73766,Cluj-Napoca
404,Smart Thermostat 404,59132,Warsaw
405,Air Quality Sensor 405,75307,Bucharest
406,Humidity Sensor 406,70136,Bucharest
407,Water Sensor 407,49665,Constanta
408,Humidity Sensor 408,59453,Brasov
409,Humidity Sensor 409,59197,Barcelona
410,Smart Lock 410,33555,Constanta
411,Temperature Sensor 411,12846,Craiova
412,Smart Meter 412,55210,Iasi
413,Environmental Sensor 413,52923,Paris
414,Industrial Sensor 414,18679,Munich
415,GPS Tracker 415,74775,Oradea
416,Humidity Sensor 416,95681,Craiova
417,GPS Tracker 417,71357,Arad
418,Temperature Sensor 418,17538,Craiova
419,Environmental Sensor 419,266,Cluj-Napoca
420,Humidity Sensor 420,52309,Vienna
421,Smart Light 421,64746,Arad
422,Smart Lock 422,28945,Cluj-Napoca
423,Industrial Sensor 423,48375,Timisoara
424,Smart Thermostat 424,25431,Munich
425,Air Quality Sensor 425,39658,Berlin
426,Humidity Sensor 426,94604,Prague
427,Air Quality Sensor 427,2841,Budapest
428,Industrial Sensor 428,89541,Sibiu
429,Energy Monitor 429,43377,Iasi
430,Environmental Sensor 430,37426,Constanta
431,Motion Sensor 431,90200,Cluj-Napoca
432,Energy Monitor 432,45736,Berlin
433,Air Quality Sensor 433,40994,Berlin
434,Environmental Sensor 434,35212,Warsaw
435,Security Camera 435,95765,Paris
436,Industrial Sensor 436,73888,Timisoara
437,Motion Sensor 437,14872,Prague
438,Security Camera 438,77104,Budapest
439,Motion Sensor 439,65114,Brasov
440,Smart Light 440,89520,Berlin
441,Smart Light 441,5111,Timisoara
442,Energy Monitor 442,27670,Iasi
443,Motion Sensor 443,84111,Vienna
444,Environmental Sensor 444,66978,Constanta
445,Industrial Sensor 445,49037,Barcelona
446,Industrial Sensor 446,62028,Munich
447,Smart Light 447,79894,Munich
448,Humidity Sensor 448,51645,Paris
449,Industrial Sensor 449,89831,Berlin
450,Humidity Sensor 450,45375,Constanta
451,Security Camera 451,25614,Iasi
452,Industrial Sensor 452,76985,Iasi
453,Environmental Sensor 453,70020,Arad
454,Industrial Sensor 454,30092,Craiova
455,Humidity Sensor 455,32058,Timisoara
456,Humidity Sensor 456,27761,Berlin
457,Motion Sensor 457,31904,Vienna
458,Industrial Sensor 458,55961,Cluj-Napoca
459,Smart Thermostat 459,84801,Arad
460,Security Camera 460,16455,Vienna
461,Smart Lock 461,56991,Craiova
462,Smart Lock 462,31447,Cluj-Napoca
463,Smart Lock 463,74272,Madrid
464,Energy Monitor 464,59614,Iasi
465,Water Sensor 465,45547,Constanta
466,Water Sensor 466,82356,Sibiu
467,IoT Gateway 467,94265,Vienna
468,Air Quality Sensor 468,39358,Barcelona
469,Smart Thermostat 469,79378,Prague
470,Security Camera 470,85660,Budapest
471,Smart Light 471,15650,Vienna
472,Security Camera 472,98301,Cluj-Napoca
473,Humidity Sensor 473,59414,Arad
474,Industrial Sensor 474,61206,Berlin
475,Temperature Sensor 475,21982,Arad
476,Industrial Sensor 476,27321,Vienna
477,Smart Light 477,91135,Paris
478,Water Sensor 478,15385,Arad
479,Air Quality Sensor 479,52598,Constanta
480,Air Quality Sensor 480,97422,Warsaw
481,Industrial Sensor 481,63688,Prague
482,Water Sensor 482,35786,Brasov
483,Smart Lock 483,84626,Iasi
484,Environmental Sensor 484,90672,Timisoara
485,Motion Sensor 485,68263,Timisoara
486,IoT Gateway 486,88731,Sibiu
487,Security Camera 487,12145,Budapest
488,Water Sensor 488,32072,Madrid
489,Air Quality Sensor 489,18563,Oradea
490,Smart Light 490,12593,Timisoara
491,Humidity Sensor 491,23677,Madrid
492,Industrial Sensor 492,67723,Constanta
493,Smart Thermostat 493,78357,Madrid
494,GPS Tracker 494,88851,Amsterdam
495,Water Sensor 495,98188,Prague
496,Smart Lock 496,55666,Warsaw
497,Industrial Sensor 497,28635,Constanta
498,Energy Monitor 498,18347,Oradea
499,Security Camera 499,25344,Madrid
500,Smart Thermostat 500,25996,Warsaw
501,Industrial Sensor 501,25276,Berlin
502,Industrial Sensor 502,8790,Bucharest
503,Water Sensor 503,89291,Barcelona
504,Environmental Sensor 504,52953,Barcelona
505,GPS Tracker 505,63936,Sibiu
506,Motion Sensor 506,18555,Budapest
507,Smart Light 507,8669,Munich
508,IoT Gateway 508,53655,Paris
509,Smart Lock 509,33622,Bucharest
510,Smart Lock 510,52287,Cluj-Napoca
511,Industrial Sensor 511,93328,Budapest
512,Smart Lock 512,96739,Madrid
513,Smart Lock 513,16845,Arad
514,Smart Thermostat 514,52530,Constanta
515,Smart Thermostat 515,415,Amsterdam
516,Security Camera 516,4227,Amsterdam
517,Humidity Sensor 517,43128,Madrid
518,Smart Meter 518,32251,Warsaw
519,Industrial Sensor 519,5579,Berlin
520,Temperature Sensor 520,20778,Munich
521,Smart Light 521,95922,Paris
522,Humidity Sensor 522,18178,Arad
523,Environmental Sensor 523,14798,Timisoara
524,Smart Meter 524,59481,Barcelona
525,Security Camera 525,86147,Warsaw
526,Air Quality Sensor 526,73070,Munich
527,GPS Tracker 527,75965,Sibiu
528,Motion Sensor 528,22206,Paris
529,Water Sensor 529,462,Warsaw
530,IoT Gateway 530,52539,Madrid
531,Smart Lock 531,60926,Munich
532,Humidity Sensor 532,81474,Budapest
533,IoT Gateway 533,23931,Craiova
534,Temperature Sensor 534,22914,Prague
535,Water Sensor 535,9729,Oradea
536,IoT Gateway 536,62324,Vienna
537,Smart Light 537,32971,Vienna
538,Air Quality Sensor 538,39819,Sibiu
539,Smart Lock 539,4734,Amsterdam
540,Smart Thermostat 540,41909,Munich
541,Smart Light 541,10828,Timisoara
542,IoT Gateway 542,42492,Craiova
543,Air Quality Sensor 543,69069,Prague
544,IoT Gateway 544,30301,Prague
545,Motion Sensor 545,4500,Warsaw
546,Water Sensor 546,97075,Constanta
547,Humidity Sensor 547,96292,Munich
548,GPS Tracker 548,79979,Barcelona
549,Temperature Sensor 549,10490,Budapest
550,Temperature Sensor 550,98049,Cluj-Napoca
551,GPS Tracker 551,95629,Constanta
552,Water Sensor 552,79012,Prague
553,Humidity Sensor 553,33119,Sibiu
554,Industrial Sensor 554,43196,Sibiu
555,Smart Thermostat 555,58948,Budapest
556,Motion Sensor 556,72412,Budapest
557,Humidity Sensor 557,71460,Iasi
558,Security Camera 558,57716,Berlin
559,Smart Thermostat 559,70545,Timisoara
560,Temperature Sensor 560,58612,Timisoara
561,IoT Gateway 561,86649,Constanta
562,Environmental Sensor 562,55414,Prague
563,Water Sensor 563,42734,Warsaw
564,IoT Gateway 564,94522,Timisoara
565,Energy Monitor 565,59531,Craiova
566,Air Quality Sensor 566,17858,Amsterdam
567,IoT Gateway 567,18906,Cluj-Napoca
568,GPS Tracker 568,99543,Sibiu
569,Smart Light 569,1102,Berlin
570,Security Camera 570,59357,Bucharest
571,Temperature Sensor 571,95199,Iasi
572,Humidity Sensor 572,20443,Paris
573,IoT Gateway 573,73411,Oradea
574,Motion Sensor 574,98033,Munich
575,Smart Meter 575,6588,Paris
576,Air Quality Sensor 576,26354,Prague
577,Temperature Sensor 577,40319,Berlin
578,GPS Tracker 578,57019,Constanta
579,Temperature Sensor 579,81866,Arad
580,Air Quality Sensor 580,96224,Warsaw
581,Security Camera 581,27748,Berlin
582,GPS Tracker 582,24365,Vienna
583,Industrial Sensor 583,1256,Constanta
584,Industrial Sensor 584,94125,Prague
585,IoT Gateway 585,75907,Craiova
586,Smart Light 586,9294,Vienna
587,Environmental Sensor 587,67778,Madrid
588,Humidity Sensor 588,50997,Budapest
589,Humidity Sensor 589,70207,Budapest
590,Motion Sensor 590,27903,Munich
591,Smart Thermostat 591,32536,Bucharest
592,Industrial Sensor 592,6353,Munich
593,Environmental Sensor 593,8831,Barcelona
594,IoT Gateway 594,91454,Prague
595,Motion Sensor 595,22062,Constanta
596,IoT Gateway 596,42925,Amsterdam
597,Water Sensor 597,23099,Sibiu
598,Environmental Sensor 598,83295,Warsaw
599,Industrial Sensor 599,70573,Warsaw
600,Water Sensor 600,59082,Amsterdam
601,Energy Monitor 601,78299,Madrid
602,Temperature Sensor 602,68002,Iasi
603,Industrial Sensor 603,16374,Amsterdam
604,IoT Gateway 604,37004,Munich
605,GPS Tracker 605,90962,Sibiu
606,Air Quality Sensor 606,87135,Warsaw
607,Industrial Sensor 607,73210,Prague
608,GPS Tracker 608,35047,Paris
609,Energy Monitor 609,80355,Berlin
610,IoT Gateway 610,17515,Craiova
611,Water Sensor 611,1134,Paris
612,Industrial Sensor 612,75039,Sibiu
613,IoT Gateway 613,60782,Warsaw
614,Smart Lock 614,72604,Budapest
615,Temperature Sensor 615,37365,Craiova
616,IoT Gateway 616,50591,Budapest
617,Smart Thermostat 617,56661,Timisoara
618,Environmental Sensor 618,17243,Amsterdam
619,Smart Thermostat 619,57540,Bucharest
620,Smart Thermostat 620,85150,Craiova
621,Motion Sensor 621,56481,Madrid
622,IoT Gateway 622,38203,Warsaw
623,Security Camera 623,6744,Constanta
624,Smart Thermostat 624,492,Amsterdam
625,Environmental Sensor 625,9954,Berlin
626,Smart Light 626,70849,Budapest
627,Humidity Sensor 627,68211,Brasov
628,Smart Lock 628,66886,Amsterdam
629,Humidity Sensor 629,54583,Munich
630,Air Quality Sensor 630,69410,Amsterdam
631,Water Sensor 631,31246,Madrid
632,Smart Lock 632,86094,Arad
633,Humidity Sensor 633,33472,Berlin
634,Smart Lock 634,35831,Craiova
635,Temperature Sensor 635,69790,Arad
636,Environmental Sensor 636,31490,Vienna
637,Energy Monitor 637,59810,Vienna
638,Security Camera 638,90280,Amsterdam
639,Industrial Sensor 639,66213,Brasov
640,Environmental Sensor 640,47051,Warsaw
641,Industrial Sensor 641,17529,Madrid
642,GPS Tracker 642,65855,Bucharest
643,Air Quality Sensor 643,36786,Madrid
644,IoT Gateway 644,17122,Amsterdam
645,Temperature Sensor 645,50521,Cluj-Napoca
646,Motion Sensor 646,99120,Warsaw
647,Smart Meter 647,72498,Warsaw
648,Energy Monitor 648,20277,Madrid
649,Smart Light 649,40902,Brasov
650,Environmental Sensor 650,12549,Berlin
651,Smart Light 651,87280,Amsterdam
652,Industrial Sensor 652,59926,Arad
653,Security Camera 653,97517,Vienna
654,Smart Lock 654,91572,Sibiu
655,Energy Monitor 655,72731,Sibiu
656,Smart Lock 656,92607,Barcelona
657,Air Quality Sensor 657,41055,Berlin
658,Smart Thermostat 658,42869,Budapest
659,Smart Lock 659,55771,Prague
660,GPS Tracker 660,32904,Paris
661,Smart Light 661,71436,Iasi
662,Smart Lock 662,31061,Iasi
663,Smart Meter 663,82441,Arad
664,Smart Light 664,53614,Barcelona
665,Humidity Sensor 665,85654,Brasov
666,Air Quality Sensor 666,19373,Paris
667,Energy Monitor 667,84413,Timisoara
668,Smart Lock 668,5979,Barcelona
669,Smart Thermostat 669,23618,Oradea
670,Energy Monitor 670,21800,Barcelona
671,Smart Light 671,98956,Brasov
672,Energy Monitor 672,78524,Amsterdam
673,Motion Sensor 673,17181,Craiova
674,Industrial Sensor 674,95705,Arad
675,Environmental Sensor 675,78865,Arad
676,Security Camera 676,36575,Craiova
677,Smart Meter 677,8320,Prague
678,Smart Meter 678,47585,Oradea
679,Humidity Sensor 679,60074,Munich
680,Smart Lock 680,81245,Prague
681,Smart Light 681,77997,Cluj-Napoca
682,Smart Light 682,23629,Oradea
683,Air Quality Sensor 683,24773,Iasi
684,Smart Lock 684,56362,Brasov
685,Security Camera 685,91101,Munich
686,Industrial Sensor 686,45804,Arad
